Episode no = 250; won: False; Q(s,a) = nan; reward = -458.0; and epsilon = 0.9666666666666667, win percentage = 0.0, 2022-05-01 19:37:15
Episode no = 260; won: False; Q(s,a) = 19.64747362042844; reward = -341.0; and epsilon = 0.9653333333333334, win percentage = 0.0, 2022-05-01 19:37:19
Episode no = 270; won: False; Q(s,a) = 20.01237309499542; reward = -440.0; and epsilon = 0.964, win percentage = 0.0, 2022-05-01 19:37:23
Episode no = 280; won: False; Q(s,a) = 6.537835701273012; reward = -369.0; and epsilon = 0.9626666666666667, win percentage = 0.0, 2022-05-01 19:37:28
Episode no = 290; won: False; Q(s,a) = 4.219410794297403; reward = -487.0; and epsilon = 0.9613333333333334, win percentage = 0.0, 2022-05-01 19:37:32
Episode no = 300; won: False; Q(s,a) = nan; reward = -470.0; and epsilon = 0.96, win percentage = 0.0, 2022-05-01 19:37:36
Episode no = 310; won: False; Q(s,a) = 18.961205495155482; reward = -426.0; and epsilon = 0.9586666666666667, win percentage = 0.0, 2022-05-01 19:37:39
Episode no = 320; won: False; Q(s,a) = nan; reward = -491.0; and epsilon = 0.9573333333333334, win percentage = 0.0, 2022-05-01 19:37:41
Episode no = 330; won: False; Q(s,a) = 5.123196980676462; reward = -384.0; and epsilon = 0.956, win percentage = 0.0, 2022-05-01 19:37:46
Episode no = 340; won: False; Q(s,a) = nan; reward = -478.0; and epsilon = 0.9546666666666667, win percentage = 0.0, 2022-05-01 19:37:50
Episode no = 350; won: False; Q(s,a) = nan; reward = -470.0; and epsilon = 0.9533333333333334, win percentage = 0.0, 2022-05-01 19:37:52
Episode no = 360; won: False; Q(s,a) = nan; reward = -485.0; and epsilon = 0.952, win percentage = 0.0, 2022-05-01 19:37:55
Episode no = 370; won: False; Q(s,a) = 25.66775803358072; reward = -479.0; and epsilon = 0.9506666666666667, win percentage = 0.0, 2022-05-01 19:37:59
Episode no = 380; won: False; Q(s,a) = 19.053325499959065; reward = -445.0; and epsilon = 0.9493333333333334, win percentage = 0.0, 2022-05-01 19:38:01
Episode no = 390; won: False; Q(s,a) = 29.270788368528216; reward = -392.0; and epsilon = 0.948, win percentage = 0.0, 2022-05-01 19:38:06
Episode no = 400; won: False; Q(s,a) = 24.88849286219129; reward = -442.0; and epsilon = 0.9466666666666667, win percentage = 0.0, 2022-05-01 19:38:08
Episode no = 410; won: False; Q(s,a) = 37.1115403096108; reward = -396.0; and epsilon = 0.9453333333333334, win percentage = 0.0, 2022-05-01 19:38:11
